name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near
,49.1934276,-123.1063407,1.1734888412746787,0.0,0.2499563634932379,2.0,1.2870826863136495,0.0,0.3161304312838476,2.0,0.7242067323099952,0.0,0.7313098457765647,0.0,0.9537907423036653,0.0,0.9305786400330834,0.0,1.0557489895067933,0.0,1.2954977323070251,0.0,1.9978247027262774,0.0,1.4510535684265182,0.0,1.0635649421614495,0.0,1.9512659369949104,0.0,1.1193316766841963,0.0,1.7958183451222822,0.0,1.1056701337625536,0.0,0.24181282778193014,1.0,2.3803968965528868,0.0,1.79153152659621,0.0,2.9185955218319752,0.0,4.064847100821942,0.0,1.4322270911714723,0.0,1.0006331102185502,0.0,2.4777906226919257,0.0,6.764737593830939,0.0,2.3890018357482568,0.0,1.3862776525771205,0.0,3.163021568774969,0.0,2.4725632289522244,0.0,2.5378469652097544,0.0,0.3731188065162721,1.0
Sandman Signature Vancouver Airport Hotel & Resort,49.1876688,-123.1099702,0.9794435401044844,0.0,0.06371147247185582,6.0,1.7579947932313418,0.0,0.45044333969960837,2.0,0.35200895645974756,2.0,0.251962116643329,1.0,0.493064990846066,1.0,1.428853801785947,0.0,1.2085883787856457,0.0,1.3094706654360029,0.0,1.3489414108294349,0.0,1.4905153031053007,0.0,0.5873582835145293,0.0,2.4919011369800543,0.0,1.467057374574301,0.0,1.7127408006755904,0.0,0.5990513195384601,0.0,0.45900893121288566,1.0,1.8601329834438107,0.0,2.3486720330876714,0.0,2.811192384286217,0.0,3.4669085747809945,0.0,1.2943557632191465,0.0,0.8232554561308512,0.0,2.421790724783318,0.0,7.2726826679441166,0.0,1.9262184497374621,0.0,1.2049446802602144,0.0,3.06633481318948,0.0,2.4092990885530545,0.0,2.6814415409732106,0.0,0.8352859383194171,0.0
Atrium Inn,49.2813793,-123.0452068,0.24140442878641719,11.0,0.06525991963808868,6.0,0.4382705609086168,1.0,0.061122677297696375,2.0,1.267069447897804,0.0,0.0939099141444152,4.0,0.2382199212971396,4.0,0.3580676757192217,2.0,0.47591515532136025,1.0,0.2367127395355497,3.0,0.2336064146319587,2.0,0.9964684438659963,0.0,2.1787876819787813,0.0,0.2613097649458497,3.0,0.07587711313628759,1.0,1.4795458887367938,0.0,0.01784776928647439,1.0,0.23577146658655868,1.0,0.7243071177472894,0.0,1.3541204811322736,0.0,2.702225479419944,0.0,0.8405717483078384,0.0,2.784119484262286,0.0,2.114482304549187,0.0,2.6891035654628412,0.0,3.5893132394827663,0.0,2.1657958493189033,0.0,0.36537476644358596,1.0,0.5705210247381375,0.0,4.841532770308902,0.0,1.8683336489309035,0.0,3.9383063871687463,0.0
The Westin Wall Centre Vancouver Airport,49.1908072,-123.1331434,0.6684505121829987,0.0,0.18329333955065547,15.0,0.69626213086741,0.0,0.3295185368313601,2.0,0.9539509143986254,0.0,0.2759903548811766,8.0,0.4659850519402086,1.0,0.5383180107924787,0.0,0.7118310932819116,0.0,0.7440049872294383,0.0,1.7190106604543145,0.0,0.7933482845292019,0.0,0.4330480642752949,1.0,2.210095135845253,0.0,0.2521297968530182,1.0,0.4545676400319366,1.0,1.4341320348455993,0.0,0.7078112113111446,0.0,0.8174793679297111,0.0,0.9546221260000084,0.0,1.140862977045518,0.0,2.594618860578523,0.0,2.6727750668670303,0.0,2.5424304484471585,0.0,0.8639721705737603,0.0,8.686524177028723,0.0,0.7842760421598194,0.0,2.230161130877093,0.0,2.5408460387175156,0.0,0.8413133260892716,0.0,1.4696668340377297,0.0,0.7669984933906683,0.0
,49.1346925,-123.164299,1.7961346062162225,0.0,1.5612141180703196,0.0,1.75431545325148,0.0,0.46589804552274866,1.0,1.7286476937745308,0.0,1.6289605745919293,0.0,0.8380172268607035,0.0,1.5937221785735478,0.0,1.5912168860936415,0.0,1.57350008920846,0.0,1.5479036499749894,0.0,1.6544659733204317,0.0,3.9025598364369976,0.0,1.919123666244408,0.0,2.0819406022291647,0.0,7.092743177923983,0.0,0.36802899581917614,1.0,1.6057213108462052,0.0,1.8591337362333378,0.0,6.162807534288028,0.0,1.7706503209033437,0.0,4.073971387174826,0.0,1.6804111842025986,0.0,1.0795106735702578,0.0,4.5031854970801,0.0,13.89355649872774,0.0,4.727918966243458,0.0,1.450538020248806,0.0,3.704091549769035,0.0,4.844708834099056,0.0,7.9175217273764265,0.0,6.607794391057722,0.0
Best Western Plus Sands Hotel,49.2863022,-123.1412453,0.09436432132803049,134.0,0.058569498224883824,19.0,0.038990008858809044,13.0,0.06875692419927898,9.0,0.10066433776222015,5.0,0.03328902719288271,9.0,0.1288118961510231,9.0,0.10600549353647512,4.0,0.31809239972093634,4.0,0.11949587040268017,11.0,0.15871489767128716,2.0,0.9948535131976914,0.0,0.7096678050883691,0.0,0.6870924212297808,0.0,1.1917744121196514,0.0,0.12100554716349889,7.0,0.09470740269941101,1.0,0.1572306759536234,2.0,0.10908892390041702,3.0,1.7107111806456547,0.0,1.252797992947658,0.0,0.2043783190897661,3.0,0.7764963206169098,0.0,0.7416240858252018,0.0,0.21113633389784123,1.0,2.5828917378992875,0.0,0.2408721210791649,1.0,0.5778409744524986,0.0,0.5475826108482704,0.0,0.9275821903593415,0.0,0.9703681716210691,0.0,1.4862256321022647,0.0
Winston,49.2046687,-122.9265336,0.6801446020554794,0.0,0.7109270012740826,0.0,0.8100336260466973,0.0,0.7794262146056826,0.0,0.02384099492385438,4.0,0.4895329360748037,1.0,0.4100913997706966,1.0,0.7272753763249376,0.0,0.8387134165479045,0.0,0.795940211201506,0.0,0.8084978006030237,0.0,1.0491749688889802,0.0,0.8011578821994519,0.0,0.947334780399115,0.0,0.7287359213134312,0.0,11.649067164478351,0.0,0.46890661213893375,1.0,0.8100723447014814,0.0,0.28349625515114,1.0,1.2960289045375581,0.0,1.2946890250593945,0.0,0.8880754291730271,0.0,0.8031025305906709,0.0,0.4574689727946727,1.0,1.0007752276675388,0.0,2.235267048675064,0.0,0.7880055493272461,0.0,2.4089649154894293,0.0,1.1502744710811157,0.0,0.2886866064068419,1.0,4.417172605913806,0.0,3.6788493887193843,0.0
Best Western King George Inn & Suites,49.1487293,-122.846355,0.9324124887005999,0.0,1.1195564218520897,0.0,4.215584305575477,0.0,1.0912863672141586,0.0,1.470018666213849,0.0,0.08788149986824988,1.0,0.06837192200797364,1.0,1.3153845649568163,0.0,0.929424554248922,0.0,4.225737301386176,0.0,1.461657238768317,0.0,3.187823486541892,0.0,3.025411163838059,0.0,3.1111233548955326,0.0,1.5327832236055217,0.0,19.958304196014193,0.0,1.6127699293590665,0.0,1.4578884624304291,0.0,4.155411025507244,0.0,1.6114614154455855,0.0,4.459079481421871,0.0,7.798687467520758,0.0,3.204786482539607,0.0,1.9965825629153102,0.0,4.158646115724859,0.0,3.7488404143969287,0.0,3.5314867360677424,0.0,2.090918083379263,0.0,4.068610744493847,0.0,3.653015980869151,0.0,1.5655239910354855,0.0,4.71898761542892,0.0
Deluxe Hotel Vancouver,49.2322214,-123.0289885,0.6726463671182144,0.0,0.03301833531845927,25.0,0.7327875941595775,0.0,0.04920654180869842,3.0,0.39679045036603927,1.0,0.0751532423863499,9.0,0.2575970771915594,2.0,0.7085271387658534,0.0,0.26027467394459775,2.0,0.7291521936861818,0.0,0.9563036691269036,0.0,0.6633646325343429,0.0,1.7502200018313518,0.0,0.2382322605434692,1.0,1.2415151372518676,0.0,3.8163711187666594,0.0,2.4438556892956416,0.0,0.4287201418020649,1.0,1.7646209918272322,0.0,0.672718352645458,0.0,0.6762533917876954,0.0,4.321419287190995,0.0,0.2276729129049913,1.0,1.0707255445931225,0.0,0.5086001855615124,0.0,0.6740444713817529,0.0,1.984247805102931,0.0,1.6598883334267656,0.0,2.4008696107831247,0.0,1.794809446937428,0.0,3.6721376811638073,0.0,1.9734064339285176,0.0
Ramada,49.1699071,-123.1448997,0.06264822617179445,24.0,0.08470794721614562,14.0,0.6156038362045754,0.0,0.5209993741256757,0.0,1.8319449157774892,0.0,0.49766659579097916,1.0,0.1205799871540047,5.0,0.5784340296518673,0.0,0.42552693149601006,2.0,0.04787573706776131,1.0,0.2343810314020965,2.0,0.35876706166366074,6.0,0.38450009227831433,1.0,0.8912347480057673,0.0,1.4863971932396334,0.0,2.93067477126987,0.0,0.05099575030942414,1.0,0.47609471092345856,2.0,0.7732231124631862,0.0,2.1016767750896603,0.0,2.9543745877742835,0.0,0.31645998014403554,1.0,0.8453560545607572,0.0,3.116791046560652,0.0,0.6086093295823592,0.0,10.446901587780795,0.0,0.8620630559338542,0.0,0.6980787190368751,0.0,1.073883606242367,0.0,0.7164063339825696,0.0,3.796830954874645,0.0,3.081741400357626,0.0
