name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near,score
Sandman Signature Vancouver Airport Hotel & Resort,49.1876688,-123.1099702,0.979443540104484,0,0.06371147247185599,6,1.75799479323134,0,0.4504433396996079,2,0.352008956459748,2,0.25196211664332896,1,0.49306499084606603,1,1.42885380178595,0,1.2085883787856497,0,1.309470665436,0,1.34894141082943,0,1.4905153031053,0,0.5873582835145289,0,2.49190113698005,0,1.4670573745743,0,1.71274080067559,0,0.5990513195384599,0,0.459008931212886,1,1.86013298344381,0,2.34867203308767,0,2.81119238428622,0,3.4669085747809905,0,1.2943557632191498,0,0.8232554561308509,0,2.4217907247833197,0,7.27268266794412,0,1.92621844973746,0,1.20494468026021,0,3.0663348131894796,0,2.40929908855305,0,2.68144154097321,0,0.8352859383194169,0,3.8
Atrium Inn,49.2813793,-123.0452068,0.241404428786417,11,0.06525991963808901,6,0.438270560908617,1,0.06112267729769599,2,1.2670694478978,0,0.093909914144415,4,0.23821992129714,4,0.35806767571922204,2,0.47591515532136003,1,0.23671273953555,3,0.23360641463195897,2,0.996468443865996,0,2.17878768197878,0,0.26130976494585,3,0.07587711313628799,1,1.47954588873679,0,0.017847769286474,1,0.235771466586559,1,0.7243071177472891,0,1.35412048113227,0,2.70222547941994,0,0.840571748307838,0,2.78411948426229,0,2.1144823045491896,0,2.6891035654628395,0,3.58931323948277,0,2.1657958493189,0,0.36537476644358596,1,0.570521024738137,0,4.8415327703089,0,1.8683336489308997,0,3.9383063871687503,0,3.8
The Westin Wall Centre Vancouver Airport,49.1908072,-123.13314340000001,0.668450512182999,0,0.183293339550655,15,0.69626213086741,0,0.32951853683135995,2,0.953950914398625,0,0.275990354881177,8,0.46598505194020895,1,0.538318010792479,0,0.7118310932819121,0,0.744004987229438,0,1.7190106604543103,0,0.793348284529202,0,0.43304806427529496,1,2.21009513584525,0,0.252129796853018,1,0.454567640031937,1,1.4341320348456001,0,0.707811211311145,0,0.8174793679297109,0,0.954622126000008,0,1.1408629770455199,0,2.59461886057852,0,2.67277506686703,0,2.5424304484471603,0,0.86397217057376,0,8.68652417702872,0,0.7842760421598192,0,2.23016113087709,0,2.54084603871752,0,0.8413133260892719,0,1.4696668340377301,0,0.7669984933906681,0,4.4
Best Western Plus Sands Hotel,49.28630220000001,-123.1412453,0.09436432132803099,134,0.058569498224884005,19,0.038990008858808996,13,0.06875692419927901,9,0.10066433776222,5,0.033289027192883,9,0.128811896151023,9,0.10600549353647501,4,0.31809239972093606,4,0.11949587040267998,11,0.158714897671287,2,0.9948535131976909,0,0.7096678050883689,0,0.6870924212297811,0,1.1917744121196499,0,0.12100554716349901,7,0.09470740269941098,1,0.15723067595362303,2,0.109088923900417,3,1.71071118064565,0,1.25279799294766,0,0.20437831908976603,3,0.77649632061691,0,0.741624085825202,0,0.211136333897841,1,2.58289173789929,0,0.240872121079165,1,0.577840974452499,0,0.54758261084827,0,0.9275821903593409,0,0.9703681716210691,0,1.48622563210226,0,4.0
Best Western King George Inn & Suites,49.14872929999999,-122.846355,0.9324124887006,0,1.1195564218520901,0,4.21558430557548,0,1.09128636721416,0,1.4700186662138501,0,0.08788149986825,1,0.068371922007974,1,1.31538456495682,0,0.929424554248922,0,4.22573730138618,0,1.46165723876832,0,3.1878234865418897,0,3.02541116383806,0,3.11112335489553,0,1.53278322360552,0,19.9583041960142,0,1.61276992935907,0,1.45788846243043,0,4.155411025507241,0,1.61146141544559,0,4.45907948142187,0,7.79868746752076,0,3.2047864825396095,0,1.99658256291531,0,4.15864611572486,0,3.7488404143969305,0,3.53148673606774,0,2.09091808337926,0,4.06861074449385,0,3.6530159808691502,0,1.5655239910354901,0,4.71898761542892,0,4.2
Deluxe Hotel Vancouver,49.2322214,-123.0289885,0.6726463671182139,0,0.033018335318459,25,0.7327875941595771,0,0.049206541808699,3,0.396790450366039,1,0.07515324238635,9,0.257597077191559,2,0.708527138765853,0,0.260274673944598,2,0.729152193686182,0,0.956303669126904,0,0.663364632534343,0,1.75022000183135,0,0.238232260543469,1,1.2415151372518702,0,3.8163711187666602,0,2.44385568929564,0,0.428720141802065,1,1.7646209918272298,0,0.672718352645458,0,0.676253391787695,0,4.3214192871909995,0,0.22767291290499103,1,1.07072554459312,0,0.508600185561512,0,0.6740444713817529,0,1.98424780510293,0,1.65988833342677,0,2.4008696107831202,0,1.7948094469374298,0,3.67213768116381,0,1.97340643392852,0,3.8
Ramada,49.169907099999996,-123.1448997,0.062648226171795,24,0.084707947216146,14,0.6156038362045749,0,0.520999374125676,0,1.83194491577749,0,0.497666595790979,1,0.120579987154005,5,0.5784340296518671,0,0.42552693149600995,2,0.04787573706776099,1,0.234381031402096,2,0.358767061663661,6,0.38450009227831394,1,0.891234748005767,0,1.4863971932396298,0,2.9306747712698704,0,0.050995750309424,1,0.476094710923459,2,0.773223112463186,0,2.10167677508966,0,2.9543745877742795,0,0.316459980144036,1,0.8453560545607571,0,3.11679104656065,0,0.608609329582359,0,10.4469015877808,0,0.862063055933854,0,0.698078719036875,0,1.07388360624237,0,0.7164063339825699,0,3.79683095487464,0,3.08174140035763,0,3.5
Quality Hotel Airport (South),49.1699891,-123.14431809999999,0.08578352759277999,24,0.041604394776811,15,0.634843555961333,0,0.478614895507425,1,1.7887245174626698,0,0.498646830248614,1,0.158589542265487,5,0.544638473700358,0,0.4278918081880271,2,0.069790111831067,1,0.277564897351419,2,0.31837293762922103,6,0.4222472023334029,1,0.855494394121014,0,1.4431843007151202,0,2.90775699526865,0,0.05596530530387,1,0.448742624891337,1,0.730941623318184,0,2.09448003957479,0,2.94702831789658,0,0.358627914750759,1,0.8112380937532081,0,3.07452421562474,0,0.565366517877489,0,10.4057631272936,0,0.8189607714414351,0,0.6932908464611099,0,1.0557309306986,0,0.708020493256788,0,3.78205325836999,0,3.0528958785214595,0,3.7
JW Marriott parq Vancouver,49.2753903,-123.11276609999999,0.253938752883397,41,0.025168667714400003,19,0.22719002823455703,15,0.40354280035069207,6,0.326458040038181,9,0.21772499776804702,9,0.24975502665103,5,0.6618552597580201,0,0.51739443383381,0,0.426986835294225,1,0.3732357855995221,1,0.292438360555277,2,0.326092927583214,4,0.4778113105257829,1,1.84775461477983,0,0.153718235109557,8,0.255095746003606,2,0.37262827491480394,1,0.478681815923038,1,0.656278322508016,0,0.660364271213194,0,0.27295774086941,8,0.5797531240312039,0,0.574551269060109,0,0.234977610351064,1,0.6764793254137789,0,0.461061095875994,1,1.1196693950169598,0,0.467727460749747,1,0.52200944458683,0,0.31637021027929196,1,0.712407186869008,0,4.1
"the DOUGLAS, Autograph Collection",49.2760575,-123.11387749999999,0.149467754184689,36,0.08709289806403099,34,0.119239490059671,29,0.300035974118553,11,0.21795190765716602,11,0.10864780593196198,14,0.160611607508774,8,0.555803023234813,0,0.42142416927270004,3,0.534483829054312,0,0.270015264821889,2,0.20011923895613604,2,0.309962853397854,4,0.386616717904079,3,1.7669382758716599,0,0.049613943550835,10,0.145574675803017,3,0.268985107588825,1,0.40819987694860205,2,0.549228088585926,0,0.551973451346825,0,0.18203780807259,12,0.488859991887356,1,0.47230912692695903,1,0.13980515853516598,1,0.678136390711922,0,0.432265451763805,1,1.1495321541939199,0,0.369047388311243,1,0.44747753873532103,1,0.241131566017352,3,0.6172344784783421,0,4.4
