name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near,is_hotel,score
,49.1934276,-123.1063407,1.17348884127468,0,0.249956363493238,2,1.28708268631365,0,0.316130431283848,2,0.724206732309995,0,0.731309845776565,0,0.953790742303665,0,0.930578640033083,0,1.05574898950679,0,1.29549773230703,0,1.99782470272628,0,1.45105356842652,0,1.06356494216145,0,1.95126593699491,0,1.1193316766842,0,1.79581834512228,0,1.10567013376255,0,0.24181282778193,1,2.38039689655289,0,1.79153152659621,0,2.91859552183198,0,4.06484710082194,0,1.43222709117147,0,1.00063311021855,0,2.47779062269193,0,6.76473759383094,0,2.38900183574826,0,1.38627765257712,0,3.16302156877497,0,2.47256322895222,0,2.53784696520975,0,0.373118806516272,1,no,
Sandman Signature Vancouver Airport Hotel & Resort,49.1876688,-123.1099702,0.979443540104484,0,0.063711472471856,6,1.75799479323134,0,0.450443339699608,2,0.352008956459748,2,0.251962116643329,1,0.493064990846066,1,1.42885380178595,0,1.20858837878565,0,1.309470665436,0,1.34894141082943,0,1.4905153031053,0,0.587358283514529,0,2.49190113698005,0,1.4670573745743,0,1.71274080067559,0,0.59905131953846,0,0.459008931212886,1,1.86013298344381,0,2.34867203308767,0,2.81119238428622,0,3.46690857478099,0,1.29435576321915,0,0.823255456130851,0,2.42179072478332,0,7.27268266794412,0,1.92621844973746,0,1.20494468026021,0,3.06633481318948,0,2.40929908855305,0,2.68144154097321,0,0.835285938319417,0,yes,3.8
Atrium Inn,49.2813793,-123.0452068,0.241404428786417,11,0.065259919638089,6,0.438270560908617,1,0.061122677297696,2,1.2670694478978,0,0.093909914144415,4,0.23821992129714,4,0.358067675719222,2,0.47591515532136,1,0.23671273953555,3,0.233606414631959,2,0.996468443865996,0,2.17878768197878,0,0.26130976494585,3,0.075877113136288,1,1.47954588873679,0,0.017847769286474,1,0.235771466586559,1,0.724307117747289,0,1.35412048113227,0,2.70222547941994,0,0.840571748307838,0,2.78411948426229,0,2.11448230454919,0,2.68910356546284,0,3.58931323948277,0,2.1657958493189,0,0.365374766443586,1,0.570521024738137,0,4.8415327703089,0,1.8683336489309,0,3.93830638716875,0,yes,3.8
The Westin Wall Centre Vancouver Airport,49.1908072,-123.1331434,0.668450512182999,0,0.183293339550655,15,0.69626213086741,0,0.32951853683136,2,0.953950914398625,0,0.275990354881177,8,0.465985051940209,1,0.538318010792479,0,0.711831093281912,0,0.744004987229438,0,1.71901066045431,0,0.793348284529202,0,0.433048064275295,1,2.21009513584525,0,0.252129796853018,1,0.454567640031937,1,1.4341320348456,0,0.707811211311145,0,0.817479367929711,0,0.954622126000008,0,1.14086297704552,0,2.59461886057852,0,2.67277506686703,0,2.54243044844716,0,0.86397217057376,0,8.68652417702872,0,0.784276042159819,0,2.23016113087709,0,2.54084603871752,0,0.841313326089272,0,1.46966683403773,0,0.766998493390668,0,yes,4.4
,49.1346925,-123.164299,1.79613460621622,0,1.56121411807032,0,1.75431545325148,0,0.465898045522749,1,1.72864769377453,0,1.62896057459193,0,0.838017226860703,0,1.59372217857355,0,1.59121688609364,0,1.57350008920846,0,1.54790364997499,0,1.65446597332043,0,3.902559836437,0,1.91912366624441,0,2.08194060222916,0,7.09274317792398,0,0.368028995819176,1,1.60572131084621,0,1.85913373623334,0,6.16280753428803,0,1.77065032090334,0,4.07397138717483,0,1.6804111842026,0,1.07951067357026,0,4.5031854970801,0,13.8935564987277,0,4.72791896624346,0,1.45053802024881,0,3.70409154976904,0,4.84470883409906,0,7.91752172737643,0,6.60779439105772,0,no,
Best Western Plus Sands Hotel,49.2863022,-123.1412453,0.094364321328031,134,0.058569498224884,19,0.038990008858809,13,0.068756924199279,9,0.10066433776222,5,0.033289027192883,9,0.128811896151023,9,0.106005493536475,4,0.318092399720936,4,0.11949587040268,11,0.158714897671287,2,0.994853513197691,0,0.709667805088369,0,0.687092421229781,0,1.19177441211965,0,0.121005547163499,7,0.094707402699411,1,0.157230675953623,2,0.109088923900417,3,1.71071118064565,0,1.25279799294766,0,0.204378319089766,3,0.77649632061691,0,0.741624085825202,0,0.211136333897841,1,2.58289173789929,0,0.240872121079165,1,0.577840974452499,0,0.54758261084827,0,0.927582190359341,0,0.970368171621069,0,1.48622563210226,0,yes,4
Winston,49.2046687,-122.9265336,0.680144602055479,0,0.710927001274083,0,0.810033626046697,0,0.779426214605683,0,0.023840994923854,4,0.489532936074804,1,0.410091399770697,1,0.727275376324938,0,0.838713416547904,0,0.795940211201506,0,0.808497800603024,0,1.04917496888898,0,0.801157882199452,0,0.947334780399115,0,0.728735921313431,0,11.6490671644784,0,0.468906612138934,1,0.810072344701481,0,0.28349625515114,1,1.29602890453756,0,1.29468902505939,0,0.888075429173027,0,0.803102530590671,0,0.457468972794673,1,1.00077522766754,0,2.23526704867506,0,0.788005549327246,0,2.40896491548943,0,1.15027447108112,0,0.288686606406842,1,4.41717260591381,0,3.67884938871938,0,no,
Best Western King George Inn & Suites,49.1487293,-122.846355,0.9324124887006,0,1.11955642185209,0,4.21558430557548,0,1.09128636721416,0,1.47001866621385,0,0.08788149986825,1,0.068371922007974,1,1.31538456495682,0,0.929424554248922,0,4.22573730138618,0,1.46165723876832,0,3.18782348654189,0,3.02541116383806,0,3.11112335489553,0,1.53278322360552,0,19.9583041960142,0,1.61276992935907,0,1.45788846243043,0,4.15541102550724,0,1.61146141544559,0,4.45907948142187,0,7.79868746752076,0,3.20478648253961,0,1.99658256291531,0,4.15864611572486,0,3.74884041439693,0,3.53148673606774,0,2.09091808337926,0,4.06861074449385,0,3.65301598086915,0,1.56552399103549,0,4.71898761542892,0,yes,4.2
Deluxe Hotel Vancouver,49.2322214,-123.0289885,0.672646367118214,0,0.033018335318459,25,0.732787594159577,0,0.049206541808699,3,0.396790450366039,1,0.07515324238635,9,0.257597077191559,2,0.708527138765853,0,0.260274673944598,2,0.729152193686182,0,0.956303669126904,0,0.663364632534343,0,1.75022000183135,0,0.238232260543469,1,1.24151513725187,0,3.81637111876666,0,2.44385568929564,0,0.428720141802065,1,1.76462099182723,0,0.672718352645458,0,0.676253391787695,0,4.321419287191,0,0.227672912904991,1,1.07072554459312,0,0.508600185561512,0,0.674044471381753,0,1.98424780510293,0,1.65988833342677,0,2.40086961078312,0,1.79480944693743,0,3.67213768116381,0,1.97340643392852,0,yes,3.8
Ramada,49.1699071,-123.1448997,0.062648226171795,24,0.084707947216146,14,0.615603836204575,0,0.520999374125676,0,1.83194491577749,0,0.497666595790979,1,0.120579987154005,5,0.578434029651867,0,0.42552693149601,2,0.047875737067761,1,0.234381031402096,2,0.358767061663661,6,0.384500092278314,1,0.891234748005767,0,1.48639719323963,0,2.93067477126987,0,0.050995750309424,1,0.476094710923459,2,0.773223112463186,0,2.10167677508966,0,2.95437458777428,0,0.316459980144036,1,0.845356054560757,0,3.11679104656065,0,0.608609329582359,0,10.4469015877808,0,0.862063055933854,0,0.698078719036875,0,1.07388360624237,0,0.71640633398257,0,3.79683095487464,0,3.08174140035763,0,yes,3.5
